question_number,question,options,answer
1,"In what children's game are participants chased by someone designated ""It""?","['Tag', 'Simon Says', 'Charades', 'Hopscotch']",0
2,"On a radio, stations are changed by using what control?","['Tuning', 'Volume', 'Bass', 'Treble']",0
3,Which material is most dense?,"['Silver', 'Styrofoam', 'Butter', 'Gold']",3
4,Which state in the United States is largest by area?,"['Alaska', 'California', 'Texas', 'Hawaii']",0
5,What is Aurora Borealis commonly known as?,"['Fairy Dust', 'Northern Lights', 'Book of ages', 'a Game of Thrones main character']",1
6,Galileo was an Italian astronomer who,"['developed the telescope', 'discovered four satellites of Jupiter', 'discovered that the movement of pendulum produces a regular time measurement', 'All of the above']",3
7,Exposure to sunlight helps a person improve his health because,"['the infrared light kills bacteria in the body', 'resistance power increases', 'the pigment cells in the skin get stimulated and produce a healthy tan', 'the ultraviolet rays convert skin oil into Vitamin D']",3
8,Sir Thomas Fearnley Cup is awarded to,"['a club or a local sport association for remarkable achievements', 'amateur athlete, not necessarily an Olympian', 'National Olympic Committee for outstanding work', 'None of the above']",0
9,Oscar Awards were instituted in,"['1968', '1929', '1901', '1965']",1
10,When did Margaret Thatcher became the first female Prime Minister of Britain?,"['1998', '1989', '1979', '1800']",2
11,When is the International Workers' Day?,"['15th April', '12th December', '1st May', '1st August']",2
12,When did China test their first atomic device?,"['1962', '1963', '1964', '1965']",2
13,When did Commander Robert Peary discover the North Pole?,"['1904', '1905', '1908', '1909']",3
14,What is the population density of Kerala?,"['819/sq. km', '602/sq. km', '415/sq. km', '500/sq. km']",0
15,What is the range of missile 'Akash'?,"['4 km', '25 km', '500 m to 9 km', '150 km']",1
1,"In the U.S., if it's not Daylight Saving Time, it's what?","['Borrowed time', 'Overtime', 'Standard time', 'Party time']",2
2,"Which part of the body are you most likely to ""stub""?","['Toe', 'Knee', 'Elbow', 'Brain']",0
3,Which country is largest by area?,"['UK', 'USA', 'Russia', 'China']",2
4,"What does the ""F"" stand for in FBI?","['Foreign', 'Federal', 'Flappy', 'Face']",1
5,The US declared war on which country after the bombing of Pearl Harbor?,"['Japan', 'Russia', 'Germany', 'China']",0
6,"A guarantee to an exporter that the importer of his goods will pay immediately for the goods ordered by him, is known as","['Letter of Credit (L/C)', 'laissezfaire', 'inflation', 'None of the above']",0
7,The ozone layer restricts,"['Visible light', 'Infrared radiation', 'X-rays and gamma rays', 'Ultraviolet radiation']",3
8,Fa-Hien was,"['the first Buddhist pilgrim of China to visit India during the reign of Chandragupta Vikramaditya', 'the discoverer of Puerto Rico and Jamaica', 'the first Buddhist pilgrim of India to visit China', 'None of the above']",0
9,What was the first university in the United States,"['Harvard', 'University of Washington', 'Yale', 'Oxford']",0
10,An electron volt is,"['The amount of energy it takes to move an electron through a potential difference of 1 volt', 'The number of volts it takes to move an electon a meter', 'The number of electrons it takes to kill a human being', 'The flux of current through a surface parallel to a capacitor']",0
11,When is the World's Diabetes Day?,"['14th November', '11th December', '15th October', '1st July']",0
12,What is the S.I. unit of temperature?,"['Kelvin', 'Celsius', 'Centigrade', 'Fahrenheit']",0
13,When did US astronauts Neil Armstrong and Edwin E. Aldrin land on the moon?,"['July 21, 1969', 'July 21, 1970', 'July 21, 1963', 'July 21, 1972']",0
14,When cream is separated from milk,"['the density of milk increases', 'the density of milk decreases', 'the density of milk remains unchanged', 'it becomes more viscous']",0
15,When did 19 NATO members and 11 'Partners for Peace' join hands for peace plan for Kosovo Crisis?,"['1999', '1989', '1979', '1969']",0
1,An albino gorilla usually has what color fur?,"['Brown', 'Black', 'White', 'Golden']",2
2,"When you enter a situation without a definite plan of action, you are said to be ""playing it by"" what?","['Fingertips', 'Ear', 'Nose', 'Mouth']",1
3,"What is commonly known as the ""Emerald City"" in the United States?","['Palos Verdes, CA', 'Seattle, WA', 'New York, NY', 'Dallas, TX']",1
4,What is the national emblem of Canada?,"['Maple Leaf', 'Brown Bear', 'Maple Syrup', 'Waffle']",0
5,What is the name of the largest freshwater lake in the world?,"['Lake Union', 'Lake Superior', 'Lake Largest', 'Lake Goodwin']",0
6,Ecology deals with,"['Birds', 'Cell formation', 'Relation between organisms and their environment', 'Tissues']",2
7,The escape velocity of a rocket fired from the earth towards the moon is the velocity required to overcome,"[""Earth's gravitational pull"", ""Moon's gravitational pull"", ""Centripetal force due to the earth's rotation"", 'Pressure of the atmosphere']",0
8,Leonardo da Vinci,"['was a great Italian painter, sculptor and architect', 'got universal fame form his masterpiece ""Mona lisa""', 'drew models of organs such as the heart, lungs and womb', 'All of the above']",3
9,Hamid Karzai was chosen president of Afghanistan in,"['2000', '2001', '2002', '2003']",2
10,The headquarters of UN are situated at,"['New York, USA', 'Haque (Netherlands)', 'Geneva', 'Paris']",0
11,"When a moving bus stops suddenly, the passenger are pushed forward because of the","['friction between the earth and the bus', 'friction between the passengers and the earth', 'inertia of the passengers', 'inertia of the bus']",2
12,When and where was hockey introduced for women in Olympics?,"['1908 at London', '1980 at Moscow', '1936 at Berlin', '1924 at Paris']",1
13,Lime is sometimes applied to soil in order to,"['increase the alkalinity of the soil', 'increase the acidity of the soil', 'restore nitrates to the soil', 'make the soil more porous']",0
14,Marco Polo,"['discovered Greenland', 'travelled through China, India and other parts of Asia', 'travelled round the cape of Good Hope', 'discovered Canada']",1
15,Lal Bahadur Shastri is also known as,"['Guruji', 'Man of Peace', 'Punjab Kesari', 'Mahamana']",1
1,Which of the following consumer goods is the Gerber Products Co. best known for?,"['Potato chips', 'Fine wines', 'Chewing gum', 'Baby Food']",3
2,In which of these household appliances would you find a lint screen?,"['Dishwasher', 'Microwave oven', 'Clothes dryer', 'Trash compactor']",2
3,What are the three primary colors?,"['Red, green, blue', 'Magenta, pink, cyan', 'Yellow, salmon, brown', 'White, grey, black']",0
4,"In aviation, what does UFO stand for?","['Unified Flying Object', 'Unitary Flinging Obsession', 'United Flag Opposition', 'Unidentified Flying Object']",3
5,"In aviation, what does UFO stand for?","['Unified Flying Object', 'Unitary Flinging Obsession', 'United Flag Opposition', 'Unidentified Flying Object']",3
6,"For safety, the fuse wire used in the mains for household supply of electricity must be made of metal having","['low melting point', 'high resistance', 'high melting point', 'low specific heat']",0
7,Recession is,"['slowing down of economic activity over a limited period', 'period during which unemployment may rise and demand and output may fall, leading to slump in trade', 'period that results from accumulation of unsold goods, owing to fall in demand', 'All of the above']",3
8,Guwahati High Court is the judicature of,"['Nagaland', 'Arunachal Pradesh', 'Assam', 'All of the above']",3
9,Heavy Water Project (Talcher) and Fertilizer plant (Paradeep) are famous industries of,"['Orissa', 'Tamil nadu', 'Andhra Pradesh', 'Kerala']",0
10,When a given amount of air is cooled,"['the amount of moisture it can hold decreases', 'its absolute humidity decreases', 'its relative humidity remains constant', 'its absolute humidity increases']",0
11,When did France became Republic?,"['1789 AD', '1798 AD', '1792 AD', '1729 AD']",2
12,"Of the blood groups A, B, AB and O, which one is transfused into a person whose blood group is A?","['Group A only', 'Group B only', 'Group A and O', 'Group AB only']",2
13,Numismatics is the study of,"['coins', 'numbers', 'stamps', 'space']",0
14,Karl Marx's ideology advocated,"['a classed unique society', 'a united society', 'a classed society', 'None of the above']",2
15,Mahabaleshwar is located in,"['Maharashtra', 'Rajasthan', 'Madhya Pradesh', 'Himachal Pradesh']",0
1,What kind of animal traditionally lives in a sty?,"['Cow', 'Pig', 'Fox', 'Teenager']",1
2,"The EPA urges people to produce less waste by engaging in efforts to reduce, reuse and what?","['Recycle', 'Rewrap', 'Repossess', 'Retire']",0
3,What is the second most common gas in the air?,"['Nitrogen', 'Oxygen', 'Water', 'Helium']",1
4,Which month has only 28 days (unless it's a leap year)?,"['March', 'September', 'June', 'Feburary']",3
5,Pythagoras was first to ____ the universal validity of geometrical theorem.,"['give', 'prove', 'both', 'None of the above']",1
6,The American General who led the revolt against the British and declared American independence was,"['George Washington', 'Bill Clinton', 'George Bush', 'None of the above']",0
7,When and where was weightlifting introduced in Olympics?,"['1986 at Athens', '1988 at Seoul', '1924 at St. Louis', '1908 at London']",0
8,Garampani sanctuary is located at,"['Junagarh, Gujarat', 'Diphu, Assam', 'Kohima, Nagaland', 'Gangtok, Sikkim']",1
9,The Habeas Corpus Act of 1679,"['states that no one was to be imprisoned without a writ or warrant stating the charge against him', 'provided facilities to a prisoner to obtain either speedy trial or release in bail', ""safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders"", 'All of the above']",3
10,"When did Yuri Alekseyevich Gagaris of Russia, the first man to reach space, reach space?","['1960', '1961', '1962', '1963']",1
11,What are the dimensions of A4 paper?,"['8.3"" x 11.7""', '8.5"" x 11""', '30cm x 50cm', '8.5"" x 14""']",0
12,Light Year is related to,"['energy', 'speed', 'distance', 'intensity']",2
13,A liquid asset is,"['a type of asset that is in cash in the current account of the commercial bank', 'a type of asset that is in the form of a deposit in the current account of the commercial bank', 'either of these', 'None of the above']",2
14,Lhasa airport at Tibet is the World's,"['largest airport', 'highest airport', 'lowest airport', 'busiest airport']",1
15,Which of these African countries is situated south of the equator?,"['Ethiopia', 'Nigeria', 'Zambia', 'Chad']",2
